nacionalidad,sexo,pais_de_destino,periodo,total,fuente
Total,Ambos sexos,Marruecos,2008,24582,EM
Total,Ambos sexos,Mauritania,2020,201,EM
Total,Ambos sexos,Mauritania,2019,157,EM
Total,Ambos sexos,Mauritania,2018,219,EM
Total,Ambos sexos,Mauritania,2017,400,EM
Total,Ambos sexos,Mauritania,2016,238,EM
Total,Ambos sexos,Mauritania,2015,364,EM
Total,Ambos sexos,Mauritania,2014,343,EM
Total,Ambos sexos,Mauritania,2013,512,EM
Total,Ambos sexos,Mauritania,2012,591,EM
Total,Ambos sexos,Mauritania,2011,546,EM
Total,Ambos sexos,Mauritania,2010,503,EM
Total,Ambos sexos,Mauritania,2009,332,EM
Total,Ambos sexos,Mauritania,2008,277,EM
Total,Ambos sexos,Nigeria,2020,401,EM
Total,Ambos sexos,Nigeria,2019,608,EM
Total,Ambos sexos,Nigeria,2018,827,EM
Total,Ambos sexos,Nigeria,2017,1091,EM
Total,Ambos sexos,Nigeria,2016,796,EM
Total,Ambos sexos,Nigeria,2015,1411,EM
Total,Ambos sexos,Nigeria,2014,1668,EM
Total,Ambos sexos,Nigeria,2013,2711,EM
Total,Ambos sexos,Nigeria,2012,2480,EM
Total,Ambos sexos,Nigeria,2011,2626,EM
Total,Ambos sexos,Nigeria,2010,2703,EM
Total,Ambos sexos,Nigeria,2009,2623,EM
Total,Ambos sexos,Nigeria,2008,2060,EM
Total,Ambos sexos,Senegal,2020,1567,EM
Total,Ambos sexos,Senegal,2019,1607,EM
Total,Ambos sexos,Senegal,2018,1857,EM
Total,Ambos sexos,Senegal,2017,1702,EM
Total,Ambos sexos,Senegal,2016,1879,EM
Total,Ambos sexos,Senegal,2015,2248,EM
Total,Ambos sexos,Senegal,2014,3033,EM
Total,Ambos sexos,Senegal,2013,4829,EM
Total,Ambos sexos,Senegal,2012,4061,EM
Total,Ambos sexos,Senegal,2011,3620,EM
Total,Ambos sexos,Senegal,2010,3320,EM
Total,Ambos sexos,Senegal,2009,2299,EM
Total,Ambos sexos,Senegal,2008,1601,EM
Total,Ambos sexos,Otro país de África,2020,909,EM
Total,Ambos sexos,Otro país de África,2019,946,EM
Total,Ambos sexos,Otro país de África,2018,1192,EM
Total,Ambos sexos,Otro país de África,2017,1000,EM
Total,Ambos sexos,Otro país de África,2016,1297,EM
Total,Ambos sexos,Otro país de África,2015,1467,EM
Total,Ambos sexos,Otro país de África,2014,1307,EM
Total,Ambos sexos,Otro país de África,2013,1499,EM
Total,Ambos sexos,Otro país de África,2012,2097,EM
Total,Ambos sexos,Otro país de África,2011,1876,EM
Total,Ambos sexos,Otro país de África,2010,1517,EM
Total,Ambos sexos,Otro país de África,2009,1465,EM
Total,Ambos sexos,Otro país de África,2008,1330,EM
Total,Ambos sexos,América del Norte,2020,13443,EM
Total,Ambos sexos,América del Norte,2019,15452,EM
Total,Ambos sexos,América del Norte,2018,16238,EM
Total,Ambos sexos,América del Norte,2017,18904,EM
Total,Ambos sexos,América del Norte,2016,20754,EM
Total,Ambos sexos,América del Norte,2015,19363,EM
Total,Ambos sexos,América del Norte,2014,16414,EM
Total,Ambos sexos,América del Norte,2013,18579,EM
Total,Ambos sexos,América del Norte,2012,12971,EM
Total,Ambos sexos,América del Norte,2011,13284,EM
Total,Ambos sexos,América del Norte,2010,11208,EM
Total,Ambos sexos,América del Norte,2009,11461,EM
Total,Ambos sexos,América del Norte,2008,11195,EM
Total,Ambos sexos,Estados Unidos de América,2020,10031,EM
Total,Ambos sexos,Estados Unidos de América,2019,10727,EM
Total,Ambos sexos,Estados Unidos de América,2018,11442,EM
Total,Ambos sexos,Estados Unidos de América,2017,13427,EM
